0.000000e+00 1.900000e-13 0.000000e+00 7.572156e-18 9.026730e+02
0.000000e+00 2.012582e-13 0.000000e+00 8.568427e-18 8.986610e+02
0.000000e+00 2.131835e-13 0.000000e+00 9.716951e-18 8.947560e+02
0.000000e+00 2.258154e-13 0.000000e+00 1.103654e-17 8.909965e+02
0.000000e+00 2.391958e-13 0.000000e+00 1.254802e-17 8.874252e+02
0.000000e+00 2.533691e-13 0.000000e+00 1.427439e-17 8.840894e+02
0.000000e+00 2.683821e-13 0.000000e+00 1.624103e-17 8.810410e+02
0.000000e+00 2.842848e-13 0.000000e+00 1.847584e-17 8.783365e+02
0.000000e+00 3.011297e-13 0.000000e+00 2.100947e-17 8.760367e+02
0.000000e+00 3.189728e-13 0.000000e+00 2.387545e-17 8.742064e+02
0.000000e+00 3.378731e-13 0.000000e+00 2.711042e-17 8.729143e+02
0.000000e+00 3.578933e-13 0.000000e+00 3.075423e-17 8.722316e+02
0.000000e+00 3.790998e-13 0.000000e+00 3.485011e-17 8.722312e+02
0.000000e+00 4.015629e-13 0.000000e+00 3.944476e-17 8.729859e+02
0.000000e+00 4.253570e-13 0.000000e+00 4.458840e-17 8.745664e+02
0.000000e+00 4.505610e-13 0.000000e+00 5.033475e-17 8.770379e+02
0.000000e+00 4.772584e-13 0.000000e+00 5.674091e-17 8.804570e+02
0.000000e+00 5.055378e-13 0.000000e+00 6.386717e-17 8.848663e+02
0.000000e+00 5.354928e-13 0.000000e+00 7.177665e-17 8.902882e+02
0.000000e+00 5.672227e-13 0.000000e+00 8.053468e-17 8.967171e+02
0.000000e+00 6.008328e-13 0.000000e+00 9.020808e-17 9.041096e+02
0.000000e+00 6.364343e-13 0.000000e+00 1.008640e-16 9.123717e+02
0.000000e+00 6.741454e-13 0.000000e+00 1.125685e-16 9.213437e+02
0.000000e+00 7.140911e-13 0.000000e+00 1.235505e-16 9.307686e+02
0.000000e+00 7.564036e-13 0.000000e+00 1.338894e-16 9.404966e+02
0.000000e+00 8.012234e-13 0.000000e+00 1.453397e-16 9.505315e+02
0.000000e+00 8.486988e-13 0.000000e+00 1.580304e-16 9.608616e+02
0.000000e+00 8.989874e-13 0.000000e+00 1.721061e-16 9.714711e+02
0.000000e+00 9.522557e-13 0.000000e+00 1.877295e-16 9.823404e+02
0.000000e+00 1.008680e-12 0.000000e+00 2.050830e-16 9.934447e+02
0.000000e+00 1.068449e-12 0.000000e+00 2.243718e-16 1.004754e+03
0.000000e+00 1.131758e-12 0.000000e+00 2.458264e-16 1.016232e+03
0.000000e+00 1.198819e-12 0.000000e+00 2.697065e-16 1.027835e+03
0.000000e+00 1.269853e-12 0.000000e+00 2.963041e-16 1.039514e+03
0.000000e+00 1.345097e-12 0.000000e+00 3.259479e-16 1.051209e+03
0.000000e+00 1.424799e-12 0.000000e+00 3.590087e-16 1.062854e+03
0.000000e+00 1.509224e-12 0.000000e+00 3.959039e-16 1.074371e+03
0.000000e+00 1.598651e-12 0.000000e+00 4.371047e-16 1.085673e+03
0.000000e+00 1.693377e-12 0.000000e+00 4.831426e-16 1.096659e+03
0.000000e+00 1.793716e-12 0.000000e+00 5.346177e-16 1.107220e+03
0.000000e+00 1.900000e-12 0.000000e+00 5.922079e-16 1.117231e+03
0.000000e+00 2.012582e-12 0.000000e+00 6.566794e-16 1.126556e+03
0.000000e+00 2.131835e-12 0.000000e+00 7.288989e-16 1.135043e+03
0.000000e+00 2.258154e-12 0.000000e+00 8.098468e-16 1.142531e+03
0.000000e+00 2.391958e-12 0.000000e+00 9.006335e-16 1.148841e+03
0.000000e+00 2.533691e-12 0.000000e+00 1.002517e-15 1.153783e+03
0.000000e+00 2.683821e-12 0.000000e+00 1.116923e-15 1.157158e+03
0.000000e+00 2.842848e-12 0.000000e+00 1.245469e-15 1.158755e+03
0.000000e+00 3.011297e-12 0.000000e+00 1.389992e-15 1.158360e+03
0.000000e+00 3.189728e-12 0.000000e+00 1.552577e-15 1.155754e+03
0.000000e+00 3.378731e-12 0.000000e+00 1.735595e-15 1.150725e+03
0.000000e+00 3.578933e-12 0.000000e+00 1.941743e-15 1.143074e+03
0.000000e+00 3.790998e-12 0.000000e+00 2.174090e-15 1.132622e+03
0.000000e+00 4.015629e-12 0.000000e+00 2.436132e-15 1.119227e+03
0.000000e+00 4.253570e-12 0.000000e+00 2.731855e-15 1.102802e+03
0.000000e+00 4.505610e-12 0.000000e+00 3.065804e-15 1.083333e+03
0.000000e+00 4.772584e-12 0.000000e+00 3.443170e-15 1.060908e+03
0.000000e+00 5.055378e-12 0.000000e+00 3.869882e-15 1.035754e+03
0.000000e+00 5.354928e-12 0.000000e+00 4.352721e-15 1.008273e+03
0.000000e+00 5.672227e-12 0.000000e+00 4.899444e-15 9.791016e+02
0.000000e+00 6.008328e-12 0.000000e+00 5.518937e-15 9.491741e+02
0.000000e+00 6.364343e-12 0.000000e+00 6.157897e-15 9.197953e+02
0.000000e+00 6.741454e-12 0.000000e+00 6.609110e-15 8.922527e+02
0.000000e+00 7.140911e-12 0.000000e+00 7.144889e-15 8.670731e+02
0.000000e+00 7.564036e-12 0.000000e+00 7.775940e-15 8.446546e+02
0.000000e+00 8.012234e-12 0.000000e+00 8.514036e-15 8.254072e+02
0.000000e+00 8.486988e-12 0.000000e+00 9.372093e-15 8.097439e+02
0.000000e+00 8.989874e-12 0.000000e+00 1.036423e-14 7.980686e+02
0.000000e+00 9.522557e-12 0.000000e+00 1.150583e-14 7.907600e+02
0.000000e+00 1.008680e-11 0.000000e+00 1.281357e-14 7.881503e+02
